Time [s],Value,ASCII
0.975869320000000,orphanedData Channel: -2 [B],2
0.976189660000000,orphanedData Channel: -2 [B],c
0.976510020000000,orphanedData Channel: -2 [B],7
0.976830360000000,orphanedData Channel: -2 [B],d
0.977150700000000,orphanedData Channel: -2 [B],4
0.977471040000000,orphanedData Channel: -2 [B],e
0.977791400000000,orphanedData Channel: -2 [B],7
0.978111740000000,orphanedData Channel: -2 [B],9
0.978432080000000,orphanedData Channel: -2 [B],3
0.978752420000000,orphanedData Channel: -2 [B],1
0.979072780000000,orphanedData Channel: -2 [B],a
0.979393120000000,orphanedData Channel: -2 [B],2
0.979713460000000,orphanedData Channel: -2 [B],d
0.980033800000000,orphanedData Channel: -2 [B],a
0.980354140000000,orphanedData Channel: -2 [B],f
0.980674500000000,orphanedData Channel: -2 [B],d
0.980994840000000,orphanedData Channel: -2 [B],f
0.981315180000000,orphanedData Channel: -2 [B],0
0.981635520000000,orphanedData Channel: -2 [B],d
0.981955880000000,orphanedData Channel: -2 [B],4
0.982276220000000,orphanedData Channel: -2 [B],5
0.982596560000000,orphanedData Channel: -2 [B],2
0.982916900000000,orphanedData Channel: -2 [B],3
0.983237260000000,orphanedData Channel: -2 [B],0
0.983557600000000,orphanedData Channel: -2 [B],9
0.983877940000000,orphanedData Channel: -2 [B],c
0.984198280000000,orphanedData Channel: -2 [B],1
0.984518620000000,orphanedData Channel: -2 [B],a
0.984838980000000,orphanedData Channel: -2 [B],1
0.985159320000000,orphanedData Channel: -2 [B],e
0.985479660000000,orphanedData Channel: -2 [B],b
0.985800000000000,orphanedData Channel: -2 [B],1
0.986120340000000,orphanedData Channel: -2 [B],a
0.986440700000000,orphanedData Channel: -2 [B],2
0.986761040000000,orphanedData Channel: -2 [B],8
0.987081380000000,orphanedData Channel: -2 [B],f
0.987401720000000,orphanedData Channel: -2 [B],c
0.987722080000000,orphanedData Channel: -2 [B],2
0.988042420000000,orphanedData Channel: -2 [B],f
0.988362760000000,orphanedData Channel: -2 [B],a
0.988683100000000,orphanedData Channel: -2 [B],e
0.989003440000000,orphanedData Channel: -2 [B],0
0.989323800000000,orphanedData Channel: -2 [B],5
0.989644140000000,orphanedData Channel: -2 [B],7
0.989964480000000,orphanedData Channel: -2 [B],d
0.990284820000000,orphanedData Channel: -2 [B],f
0.990605180000000,orphanedData Channel: -2 [B],4
0.990925520000000,orphanedData Channel: -2 [B],0
0.991245860000000,orphanedData Channel: -2 [B],0
0.991566200000000,orphanedData Channel: -2 [B],\r
0.991886560000000,orphanedData Channel: -2 [B],\n
0.992206900000000,orphanedData Channel: -2 [B],[
0.992527240000000,orphanedData Channel: -2 [B],M
0.992847580000000,orphanedData Channel: -2 [B],S
0.993167920000000,orphanedData Channel: -2 [B],G
0.993488280000000,orphanedData Channel: -2 [B],]
0.993808620000000,orphanedData Channel: -2 [B], 
0.994128960000000,orphanedData Channel: -2 [B],A
0.994449300000000,orphanedData Channel: -2 [B],c
0.994769660000000,orphanedData Channel: -2 [B],t
0.995090000000000,orphanedData Channel: -2 [B],i
0.995410340000000,orphanedData Channel: -2 [B],v
0.995730680000000,orphanedData Channel: -2 [B],i
0.996051040000000,orphanedData Channel: -2 [B],t
0.996371380000000,orphanedData Channel: -2 [B],y
0.996691720000000,orphanedData Channel: -2 [B], 
0.997012060000000,orphanedData Channel: -2 [B],f
0.997332400000000,orphanedData Channel: -2 [B],r
0.997652760000000,orphanedData Channel: -2 [B],o
0.997973100000000,orphanedData Channel: -2 [B],m
0.998293440000000,orphanedData Channel: -2 [B],:
0.998613780000000,orphanedData Channel: -2 [B], 
0.998934140000000,orphanedData Channel: -2 [B],4
0.999254480000000,orphanedData Channel: -2 [B],3
0.999574820000000,orphanedData Channel: -2 [B],1
0.999895160000000,orphanedData Channel: -2 [B],d
1.000215500000000,orphanedData Channel: -2 [B],5
1.000535860000000,orphanedData Channel: -2 [B],9
1.000856200000000,orphanedData Channel: -2 [B],1
1.001176540000000,orphanedData Channel: -2 [B],c
1.001496880000000,orphanedData Channel: -2 [B],6
1.001817240000000,orphanedData Channel: -2 [B],e
1.002137580000000,orphanedData Channel: -2 [B],e
1.002457920000000,orphanedData Channel: -2 [B],d
1.002778260000000,orphanedData Channel: -2 [B],3
1.003098620000000,orphanedData Channel: -2 [B],b
1.003418960000000,orphanedData Channel: -2 [B],6
1.003739300000000,orphanedData Channel: -2 [B],e
1.004059640000000,orphanedData Channel: -2 [B],7
1.004379980000000,orphanedData Channel: -2 [B],9
1.004700340000000,orphanedData Channel: -2 [B],3
1.005020680000000,orphanedData Channel: -2 [B],b
1.005341020000000,orphanedData Channel: -2 [B],3
1.005661360000000,orphanedData Channel: -2 [B],1
1.005981720000000,orphanedData Channel: -2 [B],6
1.006302060000000,orphanedData Channel: -2 [B],d
1.006622400000000,orphanedData Channel: -2 [B],7
1.006942740000000,orphanedData Channel: -2 [B],b
1.007263080000000,orphanedData Channel: -2 [B],f
1.007583440000000,orphanedData Channel: -2 [B],6
1.007903780000000,orphanedData Channel: -2 [B],c
1.008224120000000,orphanedData Channel: -2 [B],e
1.008544460000000,orphanedData Channel: -2 [B],2
1.008864800000000,orphanedData Channel: -2 [B],e
1.009185160000000,orphanedData Channel: -2 [B],3
1.009505500000000,orphanedData Channel: -2 [B],b
1.009825840000000,orphanedData Channel: -2 [B],e
1.010146180000000,orphanedData Channel: -2 [B],5
1.010466540000000,orphanedData Channel: -2 [B],1
1.010786880000000,orphanedData Channel: -2 [B],a
1.011107220000000,orphanedData Channel: -2 [B],a
1.011427560000000,orphanedData Channel: -2 [B],7
1.011747920000000,orphanedData Channel: -2 [B],0
1.012068260000000,orphanedData Channel: -2 [B],7
1.012388600000000,orphanedData Channel: -2 [B],6
1.012708940000000,orphanedData Channel: -2 [B],8
1.013029280000000,orphanedData Channel: -2 [B],0
1.013349640000000,orphanedData Channel: -2 [B],b
1.013669980000000,orphanedData Channel: -2 [B],6
1.013990320000000,orphanedData Channel: -2 [B],f
1.014310660000000,orphanedData Channel: -2 [B],1
1.014631020000000,orphanedData Channel: -2 [B],4
1.014951360000000,orphanedData Channel: -2 [B],5
1.015271700000000,orphanedData Channel: -2 [B],1
1.015592040000000,orphanedData Channel: -2 [B],1
1.015912380000000,orphanedData Channel: -2 [B],f
1.016232740000000,orphanedData Channel: -2 [B],b
1.016553080000000,orphanedData Channel: -2 [B],c
1.016873420000000,orphanedData Channel: -2 [B],9
1.017193760000000,orphanedData Channel: -2 [B],d
1.017514120000000,orphanedData Channel: -2 [B],a
1.017834460000000,orphanedData Channel: -2 [B],e
1.018154800000000,orphanedData Channel: -2 [B],9
1.018475140000000,orphanedData Channel: -2 [B],e
1.018795500000000,orphanedData Channel: -2 [B],3
1.019115840000000,orphanedData Channel: -2 [B],2
1.019436180000000,orphanedData Channel: -2 [B],\r
1.019756520000000,orphanedData Channel: -2 [B],\n
1.020076860000000,orphanedData Channel: -2 [B],[
1.020397220000000,orphanedData Channel: -2 [B],M
1.020717560000000,orphanedData Channel: -2 [B],S
1.021037900000000,orphanedData Channel: -2 [B],G
1.021358240000000,orphanedData Channel: -2 [B],]
1.021678600000000,orphanedData Channel: -2 [B], 
1.021998940000000,orphanedData Channel: -2 [B],A
1.022319280000000,orphanedData Channel: -2 [B],c
1.022639620000000,orphanedData Channel: -2 [B],t
1.022959980000000,orphanedData Channel: -2 [B],i
1.023280320000000,orphanedData Channel: -2 [B],v
1.023600660000000,orphanedData Channel: -2 [B],i
1.023921000000000,orphanedData Channel: -2 [B],t
1.024241340000000,orphanedData Channel: -2 [B],y
1.024561700000000,orphanedData Channel: -2 [B], 
1.024882040000000,orphanedData Channel: -2 [B],f
1.025202380000000,orphanedData Channel: -2 [B],r
1.025522720000000,orphanedData Channel: -2 [B],o
1.025843080000000,orphanedData Channel: -2 [B],m
1.026163420000000,orphanedData Channel: -2 [B],:
1.026483760000000,orphanedData Channel: -2 [B], 
1.026804100000000,orphanedData Channel: -2 [B],6
1.027124440000000,orphanedData Channel: -2 [B],5
1.027444800000000,orphanedData Channel: -2 [B],e
1.027765140000000,orphanedData Channel: -2 [B],c
1.028085480000000,orphanedData Channel: -2 [B],3
1.028405820000000,orphanedData Channel: -2 [B],1
1.028726180000000,orphanedData Channel: -2 [B],2
1.029046520000000,orphanedData Channel: -2 [B],3
1.029366860000000,orphanedData Channel: -2 [B],2
1.029687200000000,orphanedData Channel: -2 [B],5
1.030007540000000,orphanedData Channel: -2 [B],f
1.030327900000000,orphanedData Channel: -2 [B],4
1.030648240000000,orphanedData Channel: -2 [B],3
1.030968580000000,orphanedData Channel: -2 [B],f
1.031288920000000,orphanedData Channel: -2 [B],4
1.031609280000000,orphanedData Channel: -2 [B],0
1.031929620000000,orphanedData Channel: -2 [B],1
1.032249960000000,orphanedData Channel: -2 [B],0
1.032570300000000,orphanedData Channel: -2 [B],7
1.032890660000000,orphanedData Channel: -2 [B],d
1.033211000000000,orphanedData Channel: -2 [B],f
1.033531340000000,orphanedData Channel: -2 [B],c
1.033851680000000,orphanedData Channel: -2 [B],b
1.034172020000000,orphanedData Channel: -2 [B],a
1.034492380000000,orphanedData Channel: -2 [B],6
1.034812720000000,orphanedData Channel: -2 [B],5
1.035133060000000,orphanedData Channel: -2 [B],1
1.035453400000000,orphanedData Channel: -2 [B],c
1.035773760000000,orphanedData Channel: -2 [B],a
